category,yyyy,mm,platform_type,gmv
컴퓨터 및 주변기기,2017,01,mobile,133993
가전·전자·통신기기,2017,01,mobile,294626
서적,2017,01,mobile,47379
사무·문구,2017,01,mobile,15959
의복,2017,01,mobile,467093
신발,2017,01,mobile,61269
가방,2017,01,mobile,99665
패션용품 및 액세서리,2017,01,mobile,86770
스포츠·레저용품,2017,01,mobile,96891
화장품,2017,01,mobile,380746
아동·유아용품,2017,01,mobile,183143
음·식료품,2017,01,mobile,394322
농축수산물,2017,01,mobile,142230
생활용품,2017,01,mobile,346900
자동차 및 자동차용품,2017,01,mobile,45400
가구,2017,01,mobile,105397
애완용품,2017,01,mobile,30247
여행 및 교통서비스,2017,01,mobile,611775
문화 및 레저서비스,2017,01,mobile,70012
e쿠폰서비스,2017,01,mobile,74432
음식서비스,2017,01,mobile,150546
기타서비스,2017,01,mobile,23788
기타,2017,01,mobile,57713
컴퓨터 및 주변기기,2017,01,web,288391
가전·전자·통신기기,2017,01,web,307496
서적,2017,01,web,103851
사무·문구,2017,01,web,37233
의복,2017,01,web,397422
신발,2017,01,web,42529
가방,2017,01,web,43978
패션용품 및 액세서리,2017,01,web,56669
스포츠·레저용품,2017,01,web,104489
화장품,2017,01,web,273399
아동·유아용품,2017,01,web,76647
음·식료품,2017,01,web,281528
농축수산물,2017,01,web,116799
생활용품,2017,01,web,245410
자동차 및 자동차용품,2017,01,web,34744
가구,2017,01,web,83204
애완용품,2017,01,web,22849
여행 및 교통서비스,2017,01,web,603688
문화 및 레저서비스,2017,01,web,94242
e쿠폰서비스,2017,01,web,14216
음식서비스,2017,01,web,32810
기타서비스,2017,01,web,41810
기타,2017,01,web,86780
컴퓨터 및 주변기기,2017,02,mobile,146200
가전·전자·통신기기,2017,02,mobile,298786
서적,2017,02,mobile,47680
사무·문구,2017,02,mobile,18854
의복,2017,02,mobile,445567
신발,2017,02,mobile,73655
가방,2017,02,mobile,110077
패션용품 및 액세서리,2017,02,mobile,87970
스포츠·레저용품,2017,02,mobile,100947
화장품,2017,02,mobile,428550
아동·유아용품,2017,02,mobile,180770
음·식료품,2017,02,mobile,349797
농축수산물,2017,02,mobile,100582
생활용품,2017,02,mobile,354823
자동차 및 자동차용품,2017,02,mobile,43128
가구,2017,02,mobile,122186
애완용품,2017,02,mobile,37709
여행 및 교통서비스,2017,02,mobile,557968
문화 및 레저서비스,2017,02,mobile,50991
e쿠폰서비스,2017,02,mobile,69089
음식서비스,2017,02,mobile,145165
기타서비스,2017,02,mobile,18125
기타,2017,02,mobile,61409
컴퓨터 및 주변기기,2017,02,web,329143
가전·전자·통신기기,2017,02,web,328088
서적,2017,02,web,106649
